col_A,col_B,col_C
zur Inhaltsübersicht,,
"Deutschlandatlas_GEM1224_b: Indikatoren auf Gemeindeebene, Gebietsstand zum 31.12.2024 ",,
GKZ1224,Gemeindename,"Indikatorkürzel: bev_dicht

Einwohner/-innen je km² im Jahr 2024"
1001000,"Flensburg, Stadt",1697.97
1002000,"Kiel, Landeshauptstadt",2129.52
1003000,"Lübeck, Hansestadt",1012.6
1004000,"Neumünster, Stadt",1113.72
1051001,Albersdorf,218.57
1051002,Arkebek,32.51
1051003,Averlak,67.11
1051004,Bargenstedt,80.34
1051005,Barkenholm,33.07
1051006,Barlt,31.73
1051008,Bergewöhrden,14.02
1051010,Brickeln,30.64
1051011,"Brunsbüttel, Stadt",194.63
1051012,Buchholz,68.13
1051013,Büsum,602
1051014,Büsumer Deichhausen,124.39
1051015,Bunsoh,64.77
1051016,Burg (Dithmarschen),361.78
1051017,Busenwurth,32.11
1051019,Dellstedt,33.53
1051020,Delve,49.18
1051021,Diekhusen-Fahrstedt,89.41
1051022,Dingen,93.01
1051023,Dörpling,81.97
1051024,Eddelak,147.12
1051026,Eggstedt,58.17
1051027,Elpersbüttel,28.97
1051028,Epenwöhrden,55.77
1051030,Fedderingen,28.07
1051032,Frestedt,33.3
1051033,Friedrichsgabekoog,6.38
1051034,Friedrichskoog,46.1
1051035,Gaushorn,28.68
1051036,Glüsing,23.45
1051037,Großenrade,45
1051038,Groven,12.53
1051039,Gudendorf,70.2
1051043,Hedwigenkoog,12.78
1051044,"Heide, Stadt",688.21
1051045,Hellschen-Heringsand-Unterschaar,22.65
1051046,Helse,72.73
1051047,Hemme,31.52
1051048,Hemmingstedt,178.64
1051049,Hennstedt,92.48
1051050,Hillgroven,15
1051051,Hochdonn,198.35
1051052,Hövede,17.35
1051053,Hollingstedt,32.85
1051054,Immenstedt,35.92
1051057,Kaiser-Wilhelm-Koog,25.06
1051058,Karolinenkoog,8.32
1051060,Kleve,31.62
1051061,Krempel,125.93
1051062,Kronprinzenkoog,29.26
1051063,Krumstedt,33.86
1051064,Kuden,58.49
1051065,Lehe,57.92
1051067,Lieth,81.76
1051068,Linden,75.13
1051069,Lohe-Rickelshof,375.32
1051071,Lunden,374.41
1051072,"Marne, Stadt",1156.52
1051073,Marnerdeich,294.66
1051074,"Meldorf, Stadt",337.06
1051075,Neuenkirchen,37.27
1051076,Neufeld,55.87
1051077,Neufelderkoog,10.34
1051078,Nindorf,130.86
1051079,Norddeich,60.43
1051080,Norderheistedt,28.18
1051081,Norderwöhrden,13.43
1051082,Nordhastedt,104.18
1051083,Odderade,29.46
1051084,Oesterdeichstrich,46.98
1051085,Offenbüttel,18.21
1051086,Osterrade,23.58
1051087,Ostrohe,129.28
1051088,Pahlen,106.02
1051089,Quickborn,26.62
1051090,Ramhusen,35.21
1051092,Rehm-Flehde-Bargen,37.66
1051093,Reinsbüttel,56.66
1051096,Sankt Annen,21.49
1051097,Sankt Michaelisdonn,151.21
1051098,Sarzbüttel,52.5
1051099,Schafstedt,71.04
1051100,Schalkholz,45.29
1051102,Schlichting,19.6
1051103,Schmedeswurth,30.8
1051104,Schrum,15.37
1051105,Schülp,41.21
1051107,Stelle-Wittenwurth,45.19
1051108,Strübbel,16.82
1051109,Süderdeich,64.31
1051110,Süderhastedt,50.25
1051113,Wöhrden,55.26
1051114,Tellingstedt,129.95
1051117,Tielenhemme,12.07
1051118,Trennewurth,30.04
1051119,Volsemenhusen,20.08
1051120,Wallen,15.05
1051121,Warwerort,46.72
1051122,Weddingstedt,131.75
1051125,Welmbüttel,53.82
1051126,Wennbüttel,20.48
1051127,"Wesselburen, Stadt",656.53
1051128,Wesselburener Deichhausen,22.09
1051129,Wesselburenerkoog,7.26
1051130,Wesseln,364.36
1051131,Westerborstel,25.85
1051132,Westerdeichstrich,104.4
1051133,Wiemerstedt,31.1
1051134,Windbergen,44.37
1051135,Wolmersdorf,52.86
1051136,Wrohm,64.89
1051137,Nordermeldorf,17.48
1051138,Tensbüttel-Röst,33.63
1051139,Süderdorf,22.89
1051140,Oesterwurth,16.07
1051141,Süderheistedt,64.45
1053001,Albsfelde,18.18
1053002,Alt-Mölln,131.21
1053003,Aumühle,935.06
1053004,Bäk,211.16
1053005,Bälau,34.46
1053006,Basedow,82.2
1053007,Basthorst,41.59
1053008,Behlendorf,38.54
1053009,Berkenthin,212.86
1053010,Besenthal,7.75
1053011,Bliestorf,60.58
1053012,Börnsen,559.1
1053013,Borstorf,35.42
1053014,Breitenfelde,170.33
1053015,Bröthen,29.93
1053016,Brunsmark,36.6
1053017,Brunstorf,56.9
1053018,Buchholz,80.89
1053019,Buchhorst,29.09
1053020,Büchen,399.58
1053021,Dahmker,78.92
1053022,Dalldorf,57.52
1053023,Dassendorf,430.73
1053024,Düchelsdorf,53.49
1053025,Duvensee,45.52
1053026,Einhaus,175.49
1053027,Elmenhorst,67.44
1053028,Escheburg,457.35
1053029,Fitzen,43.14
1053030,Fredeburg,4.36
1053031,Fuhlenhagen,65.16
1053032,"Geesthacht, Stadt",1008.09
1053033,Giesensdorf,62.27
1053034,Göldenitz,48.02
1053035,Göttin,13.63
1053036,Grabau,89.5
1053037,Grambek,45.42
1053038,Grinau,101.46
1053039,Groß Boden,75.56
1053040,Groß Disnack,14.02
1053041,Groß Grönau,774.49
1053042,Groß Pampau,43.39
1053043,Groß Sarau,65.87
1053044,Groß Schenkenberg,86.2
1053045,Grove,48.86
1053046,Gudow,41.66
