OBJECTID,AGS,Gemeinde,Berichtszeitpunkt,Gemeindeschlüssel,Stadttyp,Pkw Elektro Anteil
800,1002000,Kiel,2023.01,1002000,Landeshauptstadt,3.7
801,1003000,Lübeck,2023.01,1003000,Großstadt,3.4
1105,2000000,Hamburg,2023.01,2000000,Landeshauptstadt,5.5
1106,3101000,Braunschweig,2023.01,3101000,Großstadt,7.1
1107,3102000,Salzgitter,2023.01,3102000,Großstadt,2.2
1108,3103000,Wolfsburg,2023.01,3103000,Großstadt,7.9
1403,3403000,Oldenburg (Oldb),2023.01,3403000,Großstadt,4.9
1404,3404000,Osnabrück,2023.01,3404000,Großstadt,4.8
1646,3159016,Göttingen,2023.01,3159016,Großstadt,4.2
1670,3241001,Hannover,2023.01,3241001,Landeshauptstadt,4.4
1753,3254021,Hildesheim,2023.01,3254021,Großstadt,3.6
1788,5378004,Bergisch Gladbach,2023.01,5378004,Großstadt,4.2
1815,5512000,Bottrop,2023.01,5512000,Großstadt,3.1
1816,5513000,Gelsenkirchen,2023.01,5513000,Großstadt,2.8
1817,5515000,Münster,2023.01,5515000,Großstadt,5.2
1854,5562032,Recklinghausen,2023.01,5562032,Großstadt,2.8
1893,5711000,Bielefeld,2023.01,5711000,Großstadt,4.8
1895,5754008,Gütersloh,2023.01,5754008,Großstadt,4.6
1960,5774032,Paderborn,2023.01,5774032,Großstadt,5.0
1963,5911000,Bochum,2023.01,5911000,Großstadt,4.6
1964,5913000,Dortmund,2023.01,5913000,Großstadt,4.0
1965,5914000,Hagen,2023.01,5914000,Großstadt,3.3
1966,5915000,Hamm,2023.01,5915000,Großstadt,3.2
1967,5916000,Herne,2023.01,5916000,Großstadt,2.6
2220,5970040,Siegen,2023.01,5970040,Großstadt,4.8
2246,6411000,Darmstadt,2023.01,6411000,Großstadt,5.3
2247,6412000,Frankfurt am Main,2023.01,6412000,Großstadt,8.6
2248,6413000,Offenbach am Main,2023.01,6413000,Großstadt,4.5
2249,6414000,Wiesbaden,2023.01,6414000,Landeshauptstadt,14.7
2335,6435014,Hanau,2023.01,6435014,Großstadt,3.6
2448,4011000,Bremen,2023.01,4011000,Landeshauptstadt,3.7
2449,4012000,Bremerhaven,2023.01,4012000,Großstadt,2.8
2450,5111000,Düsseldorf,2023.01,5111000,Landeshauptstadt,6.5
2451,5112000,Duisburg,2023.01,5112000,Großstadt,2.6
2452,5113000,Essen,2023.01,5113000,Großstadt,4.3
2453,5114000,Krefeld,2023.01,5114000,Großstadt,3.5
2454,5116000,Mönchengladbach,2023.01,5116000,Großstadt,3.8
2455,5117000,Mülheim an der Ruhr,2023.01,5117000,Großstadt,4.0
2456,5119000,Oberhausen,2023.01,5119000,Großstadt,3.2
2457,5120000,Remscheid,2023.01,5120000,Großstadt,3.9
2458,5122000,Solingen,2023.01,5122000,Großstadt,4.7
2459,5124000,Wuppertal,2023.01,5124000,Großstadt,3.9
2492,5162024,Neuss,2023.01,5162024,Großstadt,4.4
