ID,Amtlicher Regionalschlüssel,Stadtname,Postleitzahl,Fläche,Bevölkerung,Bevölkerungsdichte
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
1,110000000000,"Berlin, Stadt",10178,891.12,3685265,4136
2,020000000000,"Hamburg, Freie und Hansestadt",20038,755.09,1862565,2467
3,091620000000,"München, Landeshauptstadt",80313,310.7,1505005,4844
4,053150000000,"Köln, Stadt",50667,405.02,1024621,2530
5,064120000000,"Frankfurt am Main, Stadt",60311,248.31,756021,3045
6,051110000000,"Düsseldorf, Stadt",40213,217.41,618685,2846
7,081110000000,"Stuttgart, Landeshauptstadt",70173,207.33,612663,2955
8,147130000000,"Leipzig, Stadt",04109,297.8,611850,2055
9,059130000000,"Dortmund, Stadt",44135,280.71,603462,2150
10,040110000000,"Bremen, Stadt",28195,318.2,586271,1842
11,051130000000,"Essen, Stadt",45121,210.34,574682,2732
12,146120000000,"Dresden, Stadt",01067,328.48,564904,1720
13,095640000000,Nürnberg,90403,186.44,529508,2840
14,032410001001,"Hannover, Landeshauptstadt",30159,204.3,522131,2556
15,051120000000,"Duisburg, Stadt",47051,232.84,502270,2157
16,059110000000,"Bochum, Stadt",44787,145.66,358676,2462
17,051240000000,"Wuppertal, Stadt",42275,168.39,358193,2127
18,057110000000,"Bielefeld, Stadt",33602,258.83,331605,1281
19,053140000000,"Bonn, Stadt",53111,141.06,323336,2292
20,082220000000,"Mannheim, Universitätsstadt",68159,144.97,318035,2194
21,082120000000,"Karlsruhe, Stadt",76133,173.42,309050,1782
22,055150000000,"Münster, Stadt",48143,303.28,308258,1016
23,097610000000,Augsburg,86150,146.85,301105,2050
24,064140000000,"Wiesbaden, Landeshauptstadt",65183,203.87,288850,1417
25,055130000000,"Gelsenkirchen, Stadt",45879,104.94,267930,2553
26,051160000000,"Mönchengladbach, Stadt",41061,170.47,267213,1568
27,053340002002,"Aachen, Stadt",52058,160.85,262670,1633
28,031010000000,"Braunschweig, Stadt",38100,192.7,252962,1313
29,010020000000,"Kiel, Landeshauptstadt",24103,118.65,252668,2130
30,145110000000,"Chemnitz, Stadt",09111,221.03,245618,1111
31,150030000000,"Magdeburg, Landeshauptstadt",39104,201.68,244329,1211
32,083110000000,"Freiburg im Breisgau, Stadt",79098,153.04,237460,1552
33,051140000000,"Krefeld, Stadt",47798,137.77,231406,1680
34,150020000000,"Halle (Saale), Stadt",06108,135.56,226767,1673
35,073150000000,"Mainz, Stadt",55116,97.73,224684,2299
36,160510000000,"Erfurt, Stadt",99084,269.91,218793,811
37,010030000000,"Lübeck, Hansestadt",23539,214.19,216889,1013
38,051190000000,"Oberhausen, Stadt",46045,77.09,213646,2771
39,130030000000,"Rostock, Hanse- und Universitätsstadt",18055,181.36,205307,1132
40,066110000000,"Kassel, documenta-Stadt",34117,106.79,197230,1847
41,059140000000,"Hagen, Stadt der FernUniversität",58095,160.45,190384,1187
42,120540000000,"Potsdam, Stadt",14469,188.24,184754,981
43,100410100100,"Saarbrücken, Landeshauptstadt",66111,167.52,182971,1092
44,059150000000,"Hamm, Stadt",59065,226.66,179968,794
45,073140000000,"Ludwigshafen am Rhein, Stadt",67059,77.43,177222,2289
46,034030000000,"Oldenburg (Oldenburg), Stadt",26105,103.09,176614,1713
47,051170000000,"Mülheim an der Ruhr, Stadt",45468,91.28,173050,1896
48,053160000000,"Leverkusen, Stadt",51373,78.87,168581,2137
49,064110000000,"Darmstadt, Wissenschaftsstadt",64283,122.07,167029,1368
50,034040000000,"Osnabrück, Stadt",49074,119.8,166057,1386
51,051220000000,"Solingen, Klingenstadt",42651,89.54,165626,1850
52,057740032032,"Paderborn, Stadt",33104,179.59,156378,871
53,059160000000,"Herne, Stadt",44623,51.42,155851,3031
54,082210000000,"Heidelberg, Stadt",69117,108.83,155756,1431
55,051620024024,"Neuss, Stadt",41460,99.52,154317,1551
56,093620000000,Regensburg,93019,80.86,151389,1872
57,091610000000,Ingolstadt,85047,133.35,141185,1059
58,082310000000,"Pforzheim, Stadt",75175,97.99,134912,1377
59,096630000000,Würzburg,97070,87.6,133258,1521
60,064130000000,"Offenbach am Main, Stadt",63065,44.88,132746,2958
61,095630000000,Fürth,90744,63.35,132036,2084
62,081210000000,"Heilbronn, Universitätsstadt",74072,99.89,131986,1321
63,084210000000,"Ulm, Universitätsstadt",89073,118.68,129882,1094
64,031030000000,"Wolfsburg, Stadt",38440,204.62,129560,633
65,031590016016,"Göttingen, Stadt",37083,117.02,127259,1087
66,084150061061,"Reutlingen, Stadt",72764,87.04,118852,1365
67,040120000000,"Bremerhaven, Stadt",27576,101.41,118610,1170
68,055120000000,"Bottrop, Stadt",46236,100.61,118535,1178
69,095620000000,Erlangen,91051,76.96,115928,1506
70,055620032032,"Recklinghausen, Stadt",45657,66.5,115344,1734
71,051200000000,"Remscheid, Stadt",42853,74.52,113828,1527
72,071110000000,"Koblenz, Stadt",56068,105.25,113378,1077
73,053780004004,"Bergisch Gladbach, Stadt",51465,83.09,111361,1340
74,160530000000,"Jena, Stadt",07743,114.77,109725,956
75,031020000000,"Salzgitter, Stadt",38226,224.49,104970,468
76,072110000000,"Trier, Stadt",54290,117.06,104342,891
77,059700040040,"Siegen, Universitätsstadt",57072,114.69,102685,895
78,051700024024,"Moers, Stadt",47441,67.64,101503,1501
79,057540008008,"Gütersloh, Stadt",33330,112.02,100479,897
80,073120000000,"Kaiserslautern, Stadt",67657,139.7,100426,719
81,032540021021,"Hildesheim, Stadt",31134,92.29,98510,1067
82,130040000000,"Schwerin, Landeshauptstadt",19053,130.52,98308,753
83,064350014014,"Hanau, Brüder-Grimm-Stadt",63450,76.28,97956,1284
84,010010000000,"Flensburg, Stadt",24937,56.73,96326,1698
85,081160019019,"Esslingen am Neckar, Stadt",73728,46.43,96182,2072
86,160520000000,"Gera, Stadt",07545,152.18,95608,628
87,120520000000,"Cottbus/Chóśebuz, Stadt",03046,165.61,95123,574
88,053580008008,"Düren, Stadt",52349,85.01,94568,1112
89,081180048048,"Ludwigsburg, Stadt",71638,43.34,92858,2143
90,084160041041,"Tübingen, Universitätsstadt",72070,108.07,92322,854
91,059620024024,"Iserlohn, Stadt",58636,125.49,91811,732
92,059540036036,"Witten, Stadt",58452,72.4,91808,1268
93,083265004074,"Villingen-Schwenningen, Stadt",78050,165.53,89756,542
94,051580028028,"Ratingen, Stadt",40878,88.74,89368,1007
