ags,stadt,cluster,ev_anteil_pct,ladepunkte_pro_1000ew,einkommen_eur,bev_dichte,ladepunkte_gesamt,einwohner
05512000,Bottrop,0,5.4,1.7716286328932385,29698.5533194267,1178,210.0,118535
04012000,Bremerhaven,0,5.5,1.450130680381081,23248.8420394011,1170,172.0,118610
14511000,Chemnitz,0,4.7,2.0845377781758665,24877.8828704316,1111,512.0,245618
14612000,Dresden,0,5.2,1.856952685766077,29569.4677087502,1720,1049.0,564904
05112000,Duisburg,0,4.8,1.9690604654866903,24141.5443405924,2157,989.0,502270
16051000,Erfurt,0,5.7,2.020174320019379,28811.0,811,442.0,218793
05513000,Gelsenkirchen,0,4.8,1.7168663456873063,22075.7327666076,2553,460.0,267930
03159016,Göttingen,0,7.4,2.7660126199325785,30556.1247927473,1087,352.0,127259
05914000,Hagen,0,5.1,1.6703084292797714,26812.8402152132,1187,318.0,190384
15002000,Halle (Saale),0,4.0,1.2435671857016233,23979.1803475036,1673,282.0,226767
05915000,Hamm,0,5.5,2.2892958748221908,25956.9259699676,794,412.0,179968
05916000,Herne,0,4.3,1.199863972640535,23999.6701177426,3031,187.0,155851
16053000,Jena,0,5.7,2.560947824105719,30503.0,956,281.0,109725
05114000,Krefeld,0,6.0,1.1451734181481896,31937.8348097055,1680,265.0,231406
14713000,Leipzig,0,5.6,2.129606929803056,27909.4298405301,2055,1303.0,611850
07314000,Ludwigshafen am Rhein,0,6.4,1.297807269977768,28336.701143914,2289,230.0,177222
01003000,Lübeck,0,6.4,3.250510629861358,29849.7964038981,1013,705.0,216889
15003000,Magdeburg,0,5.1,2.201949011374008,26152.9795026237,1211,538.0,244329
05116000,Mönchengladbach,0,6.1,2.7655840097600044,29324.8035012504,1568,739.0,267213
05119000,Oberhausen,0,5.2,3.0798610786066667,26037.5802277187,2771,658.0,213646
08231000,Pforzheim,0,6.8,2.453451138519924,31799.4954096293,1377,331.0,134912
12054000,Potsdam,0,6.2,1.3639758814423504,34457.4784777536,981,252.0,184754
05120000,Remscheid,0,6.2,1.906385072214218,30729.2361160366,1527,217.0,113828
13003000,Rostock,0,4.7,1.6268320125470637,25833.0417668926,1132,334.0,205307
10041100,Saarbrücken,0,6.6,1.3444753540178498,28302.7879796646,1092,246.0,182971
03102000,Salzgitter,0,4.7,3.162808421453749,25481.1725862168,468,332.0,104970
13004000,Schwerin,0,4.8,1.658054278390365,25755.3843814929,753,163.0,98308
07211000,Trier,0,6.8,1.7921833969063272,33118.7025412125,891,187.0,104342
05124000,Wuppertal,0,6.3,1.2004701376073792,29717.4922751576,2127,430.0,358193
05314000,Bonn,1,11.0,3.4051265556572727,38426.1424997099,2292,1101.0,323336
05111000,Düsseldorf,1,12.1,3.977791606390974,44964.6677204141,2846,2461.0,618685
06412000,Frankfurt am Main,1,11.7,2.731405609103451,43001.9085029099,3045,2065.0,756021
09563000,Fürth,1,6.5,4.332151837377685,41723.9567913886,2084,572.0,132036
08221000,Heidelberg,1,8.2,4.513469786075657,41613.6935252772,1431,703.0,155756
08121000,Heilbronn,1,6.4,6.455230100162138,48589.5645982634,1321,852.0,131986
09162000,München,1,12.2,2.490357174893107,55892.1342962152,4844,3748.0,1505005
09362000,Regensburg,1,9.2,7.351921209599112,39561.5383644465,1872,1113.0,151389
08111000,Stuttgart,1,13.7,6.914078375877114,42867.3147234177,2955,4236.0,612663
